,Rank,Title,Lifetime Gross,Max Theaters,Opening,Open Th,Release Date,Distributor
83,84,X,"$143,355",1,"$6,672",1,"Mar 10, 2000",Manga Entertainment
84,85,Lupin III: The Castle of Cagliostro,"$142,425",571,-,-,"Sep 8, 2017",Eleven Arts
85,86,Psycho-Pass: The Movie,"$138,366",161,-,-,"Mar 15, 2016",FUNimation Entertainment
86,87,Made in Abyss: Journey's Dawn,"$134,047",573,-,-,"Mar 20, 2019",Fathom Events
87,88,Evangelion: 2.0 You Can (Not) Advance,"$133,640",15,"$84,157",15,"Jan 21, 2011",Eleven Arts
88,89,Appleseed,"$129,135",31,"$66,869",31,"Jan 14, 2005",Geneon Entertainment
89,90,Love Live! The School Idol Movie,"$115,840",28,"$115,840",28,"Sep 11, 2015",-
90,91,Anohana the Movie: The Flower We Saw That Day (Ano hi mita hana no namae wo bokutachi wa mada shiran,"$109,630",41,"$37,480",17,"Jan 18, 2014",Eleven Arts
91,92,Evangelion: 1.0 You Are (Not) Alone,"$107,797",6,"$1,579",1,"Jul 3, 2009",Eleven Arts
92,93,Ghost in the Shell: The New Movie,"$101,203",267,-,-,"Nov 10, 2015",FUNimation Entertainment
93,94,Jin-Roh: The Wolf Brigade,"$94,591",1,"$7,098",1,"Jun 22, 2001",Tidepoint Pictures
94,95,Escaflowne: The Movie,"$94,060",5,"$16,692",5,"Jan 25, 2002",Bandai
95,96,Sound! Euphonium the Movie - Our Promise: A Brand New Day,"$90,341",445,-,-,"Jul 11, 2019",Fathom Events
96,97,Ocean Waves,"$87,738",17,"$4,942",1,"Dec 28, 2016",GKIDS
97,98,Summer Wars,"$80,768",11,"$1,412",1,"Dec 24, 2010",GKIDS
98,99,Wonderful Days,"$74,663",5,"$3,022",1,"Dec 31, 2004",-
99,100,A Letter to Momo,"$71,712",7,"$4,596",1,"Jul 23, 2014",GKIDS
100,101,Trigun: Badlands Rumble,"$62,027",12,"$29,201",12,"Jul 8, 2011",Eleven Arts
101,102,Digimon Adventure tri. Part 4: Loss,"$59,114",410,-,-,"Feb 1, 2018",Fathom Events
102,103,Wings of Honneamise,"$55,572",-,-,-,"Mar 10, 1995",Tara Releasing
103,104,Digimon Adventure tri. Part 6: Future,"$54,324",463,-,-,"Sep 20, 2018",Fathom Events
104,105,Digimon Adventure tri. Part 5: Coexistence,"$52,339",393,-,-,"May 10, 2018",Fathom Events
105,106,Tales from Earthsea,"$48,658",5,"$20,614",5,"Aug 13, 2010",Walt Disney Studios Motion Pictures
106,107,Napping Princess,"$48,198",22,"$10,865",14,"Sep 8, 2017",GKIDS
107,108,Road to Ninja - Naruto the Movie,"$43,171",44,"$19,017",40,"Aug 29, 2014",Eleven Arts
108,109,Mind Game,"$36,613",7,"$5,609",7,"Feb 16, 2018",GKIDS
109,110,Expelled from Paradise,"$34,510",13,"$18,869",13,"Dec 13, 2014",Eleven Arts
110,111,Tiger & Bunny: The Rising,"$34,471",18,"$23,171",18,"Mar 14, 2014",Eleven Arts
111,112,Phantom Boy,"$34,362",17,"$4,352",1,"Jul 15, 2016",GKIDS
112,113,Love Live! Sunshine!! The School Idol Movie: Over The Rainbow,"$34,135",30,-,-,"Aug 5, 2019",FUNimation Entertainment
113,114,K: Missing Kings,"$33,531",39,-,-,"Jul 18, 2014",Eleven Arts
114,115,Spriggan,"$25,824",5,"$7,420",5,"Oct 12, 2001",ADV Films
115,116,Harmony,"$23,248",47,$760,3,"May 17, 2016",FUNimation Entertainment
116,117,Short Peace,"$22,862",27,-,-,"Mar 3, 2014",Eleven Arts
117,118,Blue Exorcist: The Movie,"$21,796",7,-,-,"Aug 17, 2013",Eleven Arts
118,119,Haikara-San: Here Comes Miss Modern,"$16,572",101,"$6,748",51,"Jun 8, 2018",Eleven Arts
119,120,Trinity Seven The Movie 2: Heavens Library & Crimson Lord,"$15,712",95,"$14,853",18,"Mar 29, 2019",Atlas Distribution Company
120,121,Robot Carnival,"$10,642",2,"$10,642",2,"Mar 15, 1991",-
121,122,One Piece: Episode of Alabasta - The Desert Princess and the Pirates,"$6,587",97,"$5,791",97,"Feb 7, 2008",The Bigger Picture
122,123,Tekkonkinkreet,"$6,000",2,"$6,000",2,"Jul 13, 2007",Sony Pictures Releasing
123,124,Genghis Khan: To the Ends of the Earth and Sea,"$3,892",40,"$3,332",40,"Feb 21, 2008",The Bigger Picture
124,125,Tamala 2010: A Punk Cat in Space,"$3,386",1,"$3,386",1,"Apr 2, 2004",Vitagraph Films
125,126,Vexille,"$3,259",97,"$3,227",97,"Feb 14, 2008",The Bigger Picture
