Rank,Title,Score
428,"Initial D Fourth Stage
        TV (24 eps)
        Apr 2004 - Feb 2006
        191,690 members
      

 Manga Store
Volume 1

                  $10.99
                

                  $5.99
                 Preview",8.17
429,"Akira
        Movie (1 eps)
        Jul 1988 - Jul 1988
        864,426 members",8.16
430,"Aria the Natural
        TV (26 eps)
        Apr 2006 - Sep 2006
        80,311 members",8.16
431,"Dr. Stone: Ryuusui
        TV Special (1 eps)
        Jul 2022 - Jul 2022
        301,115 members",8.16
432,"Dr. Stone: Stone Wars
        TV (11 eps)
        Jan 2021 - Mar 2021
        1,057,554 members",8.16
433,"Fate/stay night Movie: Heaven's Feel - I. Presage Flower
        Movie (1 eps)
        Oct 2017 - Oct 2017
        461,277 members",8.16
434,"Ginga Eiyuu Densetsu: Die Neue These - Seiran 2
        Movie (4 eps)
        Oct 2019 - Oct 2019
        26,157 members",8.16
435,"Shinigami Bocchan to Kuro Maid 3rd Season
        TV (12 eps)
        Apr 2024 - Jun 2024
        45,914 members",8.16
436,"Tengen Toppa Gurren Lagann Movie 1: Gurren-hen
        Movie (1 eps)
        Sep 2008 - Sep 2008
        167,748 members",8.16
437,"Toaru Kagaku no Railgun T
        TV (25 eps)
        Jan 2020 - Sep 2020
        235,036 members",8.16
438,"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru
        OVA (1 eps)
        Dec 2016 - Dec 2016
        66,715 members",8.16
439,"Lycoris Recoil
        TV (13 eps)
        Jul 2022 - Sep 2022
        504,714 members",8.16
440,"Ouran Koukou Host Club
        TV (26 eps)
        Apr 2006 - Sep 2006
        1,137,011 members",8.16
441,"Lupin III: Cagliostro no Shiro
        Movie (1 eps)
        Dec 1979 - Dec 1979
        118,489 members",8.15
442,"Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha
        Movie (1 eps)
        Jan 2021 - Jan 2021
        36,663 members",8.15
443,"Noragami Aragoto
        TV (13 eps)
        Oct 2015 - Dec 2015
        1,468,322 members
      

 Manga Store
Volume 1
$10.99 Preview",8.15
444,"Cang Yuan Tu
        ONA (26 eps)
        Jun 2023 - Dec 2023
        2,260 members",8.15
445,"Dr. Stone: New World
        TV (11 eps)
        Apr 2023 - Jun 2023
        473,431 members",8.15
446,"Eiga Daisuki Pompo-san
        Movie (1 eps)
        Jun 2021 - Jun 2021
        49,514 members",8.15
447,"Black Clover
        TV (170 eps)
        Oct 2017 - Mar 2021
        1,695,123 members",8.14
448,"Death Parade
        TV (12 eps)
        Jan 2015 - Mar 2015
        1,789,552 members",8.14
449,"Given: Uragawa no Sonzai
        OVA (1 eps)
        Dec 2021 - Dec 2021
        90,104 members",8.14
450,"IDOLiSH7 Second Beat!
        TV (15 eps)
        Apr 2020 - Dec 2020
        32,287 members",8.14
451,"Kaiba
        TV (12 eps)
        Apr 2008 - Jul 2008
        154,430 members",8.14
452,"Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen
        Movie (1 eps)
        Apr 2015 - Apr 2015
        264,425 members",8.14
453,"Major: Message
        OVA (1 eps)
        Dec 2010 - Dec 2010
        31,157 members",8.14
454,"Non Non Biyori Nonstop: Bukatsu wo Ganbatta
        OVA (1 eps)
        Mar 2022 - Mar 2022
        22,259 members",8.14
455,"Shokugeki no Souma
        TV (24 eps)
        Apr 2015 - Sep 2015
        1,657,152 members",8.14
456,"Tensei shitara Slime Datta Ken
        TV (24 eps)
        Oct 2018 - Mar 2019
        1,470,438 members
      

 Manga Store
Volume 1
$12.99 Preview",8.14
457,"Working!!! Lord of the Takanashi
        Special (1 eps)
        Mar 2016 - Mar 2016
        103,616 members",8.14
458,"Wu Liuqi: Anying Suming
        ONA (10 eps)
        Jan 2023 - Mar 2023
        23,595 members",8.14
459,"Yi Nian Yong Heng: Chuan Cheng Pian
        ONA (54 eps)
        Jul 2022 - Jul 2023
        6,466 members",8.14
460,"Skip to Loafer
        TV (12 eps)
        Apr 2023 - Jun 2023
        273,557 members",8.13
461,"Eizouken ni wa Te wo Dasu na!
        TV (12 eps)
        Jan 2020 - Mar 2020
        340,322 members",8.13
462,"Ginga Eiyuu Densetsu Gaiden
        OVA (24 eps)
        Feb 1998 - Sep 1998
        24,611 members",8.13
463,"Given Movie 1
        Movie (1 eps)
        Aug 2020 - Aug 2020
        240,794 members",8.13
464,"Hinamatsuri
        TV (12 eps)
        Apr 2018 - Jun 2018
        518,341 members",8.13
465,"Interstella5555: The 5tory of The 5ecret 5tar 5ystem
        Movie (1 eps)
        Dec 2003 - Dec 2003
        74,929 members",8.13
466,"Kidou Senshi Gundam: The Origin - Zenya Akai Suisei
        TV (13 eps)
        Apr 2019 - Aug 2019
        23,690 members",8.13
467,"Lupin III: Part 5
        TV (24 eps)
        Apr 2018 - Sep 2018
        44,981 members",8.13
468,"Nisemonogatari
        TV (11 eps)
        Jan 2012 - Mar 2012
        737,310 members
      

 Manga Store
Part1
$9.99  Preview",8.13
469,"Nodame Cantabile: Paris-hen
        TV (11 eps)
        Oct 2008 - Dec 2008
        125,805 members
      

 Manga Store
Volume 1
$10.99 Preview",8.13
470,"Paripi Koumei
        TV (12 eps)
        Apr 2022 - Jun 2022
        299,400 members
      

 Manga Store
Volume 1
$10.99 Preview",8.13
471,"Princess Tutu
        TV (38 eps)
        Aug 2002 - May 2003
        171,635 members",8.13
472,"Seirei no Moribito
        TV (26 eps)
        Apr 2007 - Sep 2007
        220,621 members",8.13
473,"JoJo no Kimyou na Bouken Part 6: Stone Ocean
        ONA (12 eps)
        Dec 2021 - Dec 2021
        515,753 members",8.12
474,"Katekyou Hitman Reborn!
        TV (203 eps)
        Oct 2006 - Sep 2010
        560,973 members",8.12
475,"Kaze Tachinu
        Movie (1 eps)
        Jul 2013 - Jul 2013
        345,549 members",8.12
476,"One Piece Film: Z
        Movie (1 eps)
        Dec 2012 - Dec 2012
        288,233 members",8.12
477,"Buddy Daddies
        TV (12 eps)
        Jan 2023 - Apr 2023
        283,894 members",8.12
478,"Gankutsuou
        TV (24 eps)
        Oct 2004 - Mar 2005
        252,557 members",8.12
479,"Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru
        Special (1 eps)
        Apr 2015 - Apr 2015
        41,827 members",8.12
480,"Diamond no Ace
        TV (75 eps)
        Oct 2013 - Mar 2015
        248,358 members
      

 Manga Store
Volume 1
$10.99 Preview",8.11
481,"Fairy Tail: 100-nen Quest
        TV (? eps)
        Jul 2024 - 
        118,953 members
      

 Manga Store
Volume 1
$10.99 Preview",8.11
482,"Fullmetal Alchemist
        TV (51 eps)
        Oct 2003 - Oct 2004
        1,481,801 members
      

 Manga Store
Volume 1
$6.99 Preview",8.11
483,"Golden Kamuy 4th Season
        TV (13 eps)
        Oct 2022 - Jun 2023
        98,796 members",8.11
484,"Shen Yin Wangzuo
        ONA (26 eps)
        Apr 2022 - Sep 2022
        7,232 members",8.11
485,"Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san
        TV (12 eps)
        Jul 2024 - 
        211,652 members
      

 Manga Store
Volume 1
$8.99  Preview",8.11
486,"Kamisama Hajimemashita
        TV (13 eps)
        Oct 2012 - Dec 2012
        665,614 members",8.11
487,"Kidou Senshi Gundam 00
        TV (25 eps)
        Oct 2007 - Mar 2008
        222,043 members",8.11
488,"Kuragehime
        TV (11 eps)
        Oct 2010 - Dec 2010
        242,536 members
      

 Manga Store
Volume 1

                  $19.99
                

                  $10.99
                 Preview",8.11
489,"Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's
        Movie (1 eps)
        Jul 2012 - Jul 2012
        24,546 members",8.11
490,"Meitantei Conan Movie 05: Tengoku e no Countdown
        Movie (1 eps)
        Apr 2001 - Apr 2001
        64,812 members",8.11
491,"Meitantei Conan Movie 14: Tenkuu no Lost Ship
        Movie (1 eps)
        Apr 2010 - Apr 2010
        58,122 members",8.11
492,"One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna
        TV Special (1 eps)
        Aug 2012 - Aug 2012
        71,096 members",8.11
493,"Saiki Kusuo no Ψ-nan: Ψ-shidou-hen
        ONA (6 eps)
        Dec 2019 - Dec 2019
        225,772 members",8.11
494,"JoJo no Kimyou na Bouken Part 3: Stardust Crusaders
        TV (24 eps)
        Apr 2014 - Sep 2014
        1,235,538 members",8.10
495,"Kono Subarashii Sekai ni Shukufuku wo!
        TV (10 eps)
        Jan 2016 - Mar 2016
        1,988,712 members
      

 Manga Store
Volume 1
$7.99  Preview",8.10
496,"Koukaku Kidoutai: Stand Alone Complex - Solid State Society
        TV Special (1 eps)
        Sep 2006 - Sep 2006
        101,520 members",8.10
497,"Kuroko no Basket: Saikou no Present desu
        Special (1 eps)
        Dec 2015 - Dec 2015
        109,057 members",8.10
498,"Look Back
        Movie (1 eps)
        Jun 2024 - Jun 2024
        36,699 members",8.10
499,"Mahoutsukai no Yome: Hoshi Matsu Hito
        OVA (3 eps)
        Sep 2016 - Sep 2017
        285,291 members",8.10
500,"Saint Seiya: The Lost Canvas - Meiou Shinwa 2
        OVA (13 eps)
        Feb 2011 - Jul 2011
        76,512 members",8.10
