,Rank,Title,Year,Number of Episodes,Genre,Anime Type,Production House,Ratings,Comments
1113,1114,Case Closed: The Fourteenth Target,1998,1,Crime Fiction,Movie,"TMS Entertainment Co., Ltd.",3.71,Excellent
1114,1115,Donten: Laughing under the Clouds,2017,3,Action Drama,Movie,"WIT STUDIO, Inc.",3.87,Excellent
1115,1116,Toward the Terra …,2007,24,Action Drama,TV-Series,"Tokyo Kids Co.,Ltd., Minami Machi Bugyousho Co., Ltd.",3.72,Excellent
1116,1117,Cells at Work!,2018,13,Comedy,TV-Series,David Production Inc.,3.71,Excellent
1117,1118,Uncle from Another World,2022,13,Comedy,TV-Series,"Atelier Pontdarc Co., Ltd.",3.72,Excellent
1118,1119,Legend of the Galactic Heroes: My Conquest is the Sea of Stars,1988,1,Political Drama,Movie,"Kitty Film Co., Ltd.",3.74,Excellent
1119,1120,Hello World,2019,1,Sentimental Drama,Movie,"Graphinica, Inc.",3.72,Excellent
1120,1121,Saiunkoku Monogatari 2nd Series,2007,39,Drama,TV-Series,MADHOUSE Inc.,3.75,Excellent
1121,1122,Touch,1985,101,Ganbatte,TV-Series,"GALLOP Co., Ltd., Group Tac Co., Ltd.",3.75,Excellent
1122,1123,Charlotte: The Strong Ones,2016,1,Drama,Bonus,"P.A. Works Co., Ltd.",3.72,Excellent
1123,1124,Fate/Grand Order: The Movie - Divine Realm of the Round Table: Camelot,2020,2,Action Drama,Movie,"Production I.G., Inc., SIGNAL.MD, Inc.",3.76,Excellent
1124,1125,My Hero Academia: Make It! Do-or-Die Survival Training,2020,2,Action Comedy,Web,BONES Inc.,3.73,Excellent
1125,1126,ItaKiss,2008,25,Romantic Comedy,TV-Series,"TMS Entertainment Co., Ltd.",3.71,Excellent
1126,1127,Shikimori’s Not Just a Cutie,2022,12,Romantic Comedy,TV-Series,Doga Kobo,3.71,Excellent
1127,1128,JoJo no Kimyou na Bouken: Phantom Blood,2007,1,Adventure,Movie,"Another Push Pin Planning Co., Ltd.",3.79,Excellent
1128,1129,White Album 2,2013,13,Sentimental Drama,TV-Series,Satelight Inc.,3.72,Excellent
1129,1130,Non Non Biyori,2013,12,Slice of Life Comedy,TV-Series,SILVER LINK.,3.71,Excellent
1130,1131,Lookism,2022,8,Drama,Web,Studio Mir,3.72,Excellent
1131,1132,One Punch Man OVAs,2015,6,Action Comedy,Bonus,MADHOUSE Inc.,3.71,Excellent
1132,1133,The Deer King,2022,1,Adventure,Movie,"Production I.G., Inc.",3.76,Excellent
1133,1134,Undead Unluck,2023,24,Action Comedy,TV-Series,David Production Inc.,3.73,Excellent
1134,1135,Paprika,2006,1,Drama,Movie,MADHOUSE Inc.,3.71,Excellent
1135,1136,Baki: The Great Raitai Tournament Saga,2020,13,Fighting-Shounen,Web,"TMS Entertainment Co., Ltd.",3.72,Excellent
1136,1137,The Story of Saiunkoku,2006,39,Ganbatte,TV-Series,MADHOUSE Inc.,3.72,Excellent
1137,1138,Monsters: 103 Mercies Dragon Damnation,2024,1,Action,Web,"E&H production Co., Ltd.",3.75,Excellent
1138,1139,The Seven Deadly Sins: Signs of Holy War,2016,4,Action Comedy,TV-Series,A-1 Pictures Inc.,3.7,Excellent
1139,1140,Macross Frontier: The Wings of Farewell,2011,1,Action,Movie,Satelight Inc.,3.74,Excellent
1140,1141,Wagnaria!!2,2011,13,Slice of Life Comedy,TV-Series,A-1 Pictures Inc.,3.71,Excellent
1141,1142,Akira,1988,1,Action Drama,Movie,"TMS Entertainment Co., Ltd.",3.7,Excellent
1142,1143,The Familiar of Zero,2006,13,Romantic Comedy,TV-Series,"J.C.STAFF Co., Ltd.",3.7,Excellent
1143,1144,Lonely Castle in the Mirror,2022,1,?,Movie,A-1 Pictures Inc.,3.83,Excellent
1144,1145,Ghost in the Shell: S.A.C 2nd GIG - Individual Eleven,2006,1,Action,OVA,"Production I.G., Inc.",3.73,Excellent
1145,1146,Utawarerumono,2006,26,Adventure,TV-Series,"OLM, Inc.",3.7,Excellent
1146,1147,Beast Tamer,2022,13,Adventure,TV-Series,EMT Squared,3.71,Excellent
1147,1148,Dragon Ball Z,1989,291,Fighting-Shounen,TV-Series,"Toei Animation Co., Ltd.",3.7,Excellent
1148,1149,Den-noh Coil,2007,26,Drama,TV-Series,MADHOUSE Inc.,3.71,Excellent
1149,1150,Death Billiards,2013,1,Drama,Movie,MADHOUSE Inc.,3.7,Excellent
1150,1151,Baki Hanma: Season 2 - The Father vs Son Saga,2023,14,Fighting-Shounen,Web,"TMS Entertainment Co., Ltd.",3.75,Excellent
1151,1152,Bokura ga Ita,2006,26,Romantic Drama,TV-Series,Artland Inc.,3.7,Excellent
1152,1153,Date a Live V,2024,12,Action Comedy,TV-Series,GEEK TOYS Inc.,3.76,Excellent
1153,1154,Hakkenden: Eight Dogs of the East - Season 2,2013,13,Action Drama,TV-Series,"Studio DEEN Co., Ltd.",3.71,Excellent
1154,1155,Blend-S,2017,12,Comedy,TV-Series,A-1 Pictures Inc.,3.7,Excellent
1155,1156,Little Witch Academia: Enchanted Parade,2015,1,Comedy,Movie,Trigger Inc.,3.71,Excellent
1156,1157,How Not to Summon a Demon Lord,2018,12,Adventure,TV-Series,"AJIADO CO.,LTD.",3.7,Excellent
1157,1158,The Yuzuki Family’s Four Sons,2023,12,Slice of Life Drama,TV-Series,Shuka Inc.,3.76,Excellent
1158,1159,Birdy the Mighty: Decode 2,2009,12,Action Drama,TV-Series,A-1 Pictures Inc.,3.7,Excellent
1159,1160,Knights of Sidonia,2014,12,Action,TV-Series,Polygon Pictures Inc.,3.7,Excellent
1160,1161,The Asterisk War (Part 2),2016,12,Action,TV-Series,A-1 Pictures Inc.,3.7,Excellent
1161,1162,Wish Dragon,2021,1,Comedy,Movie,,3.88,Excellent
1162,1163,Hakumei & Mikochi OVA,2018,1,Slice of Life Drama,Bonus,Lerche,3.81,Excellent
1163,1164,Seitokai Yakuindomo: Season 2,2014,13,Comedy,TV-Series,GoHands,3.7,Excellent
1164,1165,Big Fish & Begonia,2016,1,Drama,Movie,Studio Mir,3.72,Excellent
1165,1166,Maria Watches over Us 3rd Season,2006,5,Slice of Life Drama,OVA,"Studio DEEN Co., Ltd.",3.72,Excellent
1166,1167,Zan Sayonara Zetsubou Sensei Bangaichi,2009,2,Nonsense-Comedy,OVA,SHAFT Inc.,3.74,Excellent
1167,1168,Interspecies Reviewers,2020,12,Nonsense-Comedy,TV-Series,"Passione Co., Ltd.",3.7,Excellent
1168,1169,Hyouka,2012,22,Crime Fiction,TV-Series,"Kyoto Animation Co., Ltd.",3.7,Excellent
1169,1170,"Love, Chunibyo & Other Delusions! Heart Throb - Apocalypse of the Wicked Lord Shingan Reborn",2014,1,Romantic Comedy,Bonus,"Kyoto Animation Co., Ltd.",3.71,Excellent
1170,1171,The Duke of Death and His Maid,2021,12,Romantic Comedy,TV-Series,"J.C.STAFF Co., Ltd.",3.71,Excellent
1171,1172,Kenichi: The Mightiest Disciple - The Attack of Darkness,2012,11,Fighting-Shounen,OVA,Brain's Base,3.71,Excellent
1172,1173,The Slayers Next,1996,26,Adventure Comedy,TV-Series,"E&G Films Co., Ltd.",3.7,Excellent
1173,1174,Gabriel DropOut,2017,12,Comedy,TV-Series,Doga Kobo,3.7,Excellent
1174,1175,Watashi no Shiawase na Kekkon: Watashi no Shiawase no Katachi,2024,1,Romantic Drama,OVA,"Kinema Citrus Co., Ltd.",4.03,Excellent
1175,1176,Yotsuiro Biyori,2018,12,Slice of Life Drama,TV-Series,ZEXCS Inc.,3.76,Excellent
1176,1177,Date a Live II,2014,10,Action Comedy,TV-Series,"Production IMS Co., Ltd.",3.7,Excellent
1177,1178,Cells at Work! Code Black,2021,13,Action Drama,TV-Series,Liden Films Inc.,3.71,Excellent
1178,1179,The World Is Still Beautiful,2014,12,Adventure,TV-Series,"Pierrot Co., Ltd.",3.7,Excellent
1179,1180,The Great Cleric,2023,12,Adventure Comedy,TV-Series,"Yokohama Animation Lab, CLOUDHEARTS Inc.",3.7,Excellent
1180,1181,Penguin Highway,2018,1,Slice of Life Drama,Movie,"Studio Colorido Co., Ltd.",3.71,Excellent
1181,1182,Aria the Natural,2006,26,Slice of Life Drama,TV-Series,HAL FILM MAKER Inc.,3.72,Excellent
1182,1183,"The 100 Girlfriends Who Really, Really, Really, Really, REALLY Love You",2023,12,Romantic Comedy,TV-Series,Bibury Animation Studios,3.7,Excellent
1183,1184,Full Metal Panic! Invisible Victory,2018,12,Action Drama,TV-Series,"XEBEC, Inc.",3.71,Excellent
1184,1185,Natsume Yujin-cho the Movie: Ephemeral Bond,2018,1,Slice of Life Drama,Movie,Shuka Inc.,3.72,Excellent
1185,1186,Dance Dance Danseur,2022,11,Ganbatte,TV-Series,"MAPPA Co., Ltd.",3.74,Excellent
1186,1187,Gekijouban Haikyuu!!,2015,2,Ganbatte,Movie,"Production I.G., Inc.",3.72,Excellent
1187,1188,Kase-san and Morning Glories,2018,1,Romantic Comedy,Movie,ZEXCS Inc.,3.7,Excellent
1188,1189,Scott Pilgrim Takes Off,2023,8,?,Web,Science SARU Inc.,3.75,Excellent
